ticker,base,quote,exchange,price,ask,bid,spread,volume
comp-BTC,comp,BTC,binance,0.00656,0.006574,0.006557,1.6999999999999654e-05,8001.663
comp-usd,comp,usd,binance,153.4,153.47,153.24,0.22999999999998977,33519.53927
bkrw-usd,bkrw,usd,binance,0.0008453,0.0,0.0,0.0,94129.0
sc-usd,sc,usd,binance,0.003553,0.003557,0.00355,6.999999999999628e-06,144441865.0
zen-usd,zen,usd,binance,11.98,11.995,11.971,0.023999999999999133,199232.471
sxp-BTC,sxp,BTC,binance,3.936e-05,3.936e-05,3.931e-05,5.0000000000001215e-08,2472579.0
snx-BTC,snx,BTC,binance,0.0002598,0.0002602,0.0002598,3.999999999999555e-07,651360.73
snx-usd,snx,usd,binance,6.068,6.075,6.067,0.008000000000000007,1750730.715
ethup-usd,ethup,usd,binance,43.643,43.958,43.658,0.29999999999999716,225138.42
ethdown-usd,ethdown,usd,binance,0.288,0.289,0.287,0.0020000000000000018,4765562.04
adaup-usd,adaup,usd,binance,6.152,6.166,6.126,0.040000000000000036,167366.83
adadown-usd,adadown,usd,binance,0.894,0.897,0.893,0.0040000000000000036,280392.57
linkup-usd,linkup,usd,binance,10.55,10.616,10.534,0.08199999999999896,326255.79
linkdown-usd,linkdown,usd,binance,0.0751,0.0754,0.0751,0.0002999999999999947,33891862.94
vtho-usd,vtho,usd,binance,0.00076,0.00076,0.000759,1.0000000000000243e-06,380504703.0
dgb-usd,dgb,usd,binance,0.02258,0.02258,0.02253,4.999999999999796e-05,60532405.3
gbp-usd,gbp,usd,binance,1.3441,1.3441,1.3436,0.000500000000000167,2886469.94
sxp-usd,sxp,usd,binance,0.919,0.919,0.918,0.0010000000000000009,11170694.85
iris-BTC,iris,BTC,binance,2.14e-06,2.15e-06,2.14e-06,1.0000000000000328e-08,5762001.0
mkr-BTC,mkr,BTC,binance,0.024049,0.024066,0.023997,6.899999999999962e-05,425.276
mkr-usd,mkr,usd,binance,562.28,562.12,561.6,0.5199999999999818,2497.07236
dai-BTC,dai,BTC,binance,8.966e-05,0.0,0.0,0.0,167.0
dai-usd,dai,usd,binance,1.0189,0.0,0.0,0.0,167.0
rune-BTC,rune,BTC,binance,4.429e-05,4.432e-05,4.424e-05,7.999999999999923e-08,1299511.0
dcr-usd,dcr,usd,binance,33.423,33.523,33.286,0.23700000000000188,27466.473
storj-usd,storj,usd,binance,0.3684,0.3689,0.3682,0.0006999999999999784,6285349.8
fio-BTC,fio,BTC,binance,3.59e-06,3.59e-06,3.58e-06,9.999999999999904e-09,3149867.0
bnbup-usd,bnbup,usd,binance,22.009,22.284,22.013,0.27099999999999724,126303.6
bnbdown-usd,bnbdown,usd,binance,0.92,0.918,0.915,0.0030000000000000027,2792690.12
xtzup-usd,xtzup,usd,binance,2.317,2.329,2.317,0.01200000000000001,130522.38
xtzdown-usd,xtzdown,usd,binance,3.414,3.424,3.383,0.040999999999999925,9913.74
ava-BTC,ava,BTC,binance,3.47e-05,3.49e-05,3.47e-05,1.9999999999999809e-07,209699.26
mana-usd,mana,usd,binance,0.09125,0.09125,0.09112,0.00012999999999999123,17885425.7
aud-usd,aud,usd,binance,0.75429,0.75584,0.75425,0.0015899999999999803,1047269.4
bal-BTC,bal,BTC,binance,0.0005952,0.0005962,0.000595,1.1999999999999207e-06,36798.2
yfi-BTC,yfi,BTC,binance,1.15554,1.15695,1.15552,0.0014299999999998203,428.2032
yfi-usd,yfi,usd,binance,27021.27,27021.61,26997.45,24.159999999999854,1559.893488
bal-usd,bal,usd,binance,13.9,13.924,13.9,0.023999999999999133,109091.756
blz-usd,blz,usd,binance,0.07182,0.07177,0.07166,0.00010999999999999899,16001227.2
iris-usd,iris,usd,binance,0.05043,0.05043,0.05007,0.0003599999999999992,4715964.6
kmd-usd,kmd,usd,binance,0.5997,0.6022,0.5997,0.0024999999999999467,1442456.4
jst-BTC,jst,BTC,binance,1.16e-06,1.16e-06,1.15e-06,9.999999999999904e-09,8409282.0
jst-usd,jst,usd,binance,0.02706,0.02709,0.02706,2.9999999999998778e-05,41892935.0
srm-BTC,srm,BTC,binance,5.05e-05,5.067e-05,5.052e-05,1.5000000000000365e-07,1014029.0
srm-usd,srm,usd,binance,1.1815,1.1828,1.1818,0.001000000000000112,4567439.34
ant-BTC,ant,BTC,binance,0.0001356,0.000136,0.0001356,4.000000000000097e-07,51060.5
ant-usd,ant,usd,binance,3.1785,3.1789,3.1752,0.0037000000000002586,269114.61
crv-BTC,crv,BTC,binance,2.81e-05,2.82e-05,2.81e-05,1.0000000000000243e-07,4056828.4
crv-usd,crv,usd,binance,0.658,0.659,0.658,0.0010000000000000009,14316326.088
sand-BTC,sand,BTC,binance,2.18e-06,2.19e-06,2.17e-06,2.0000000000000232e-08,34101629.0
sand-usd,sand,usd,binance,0.051064,0.051127,0.05091,0.00021700000000000191,54976683.0
ocean-BTC,ocean,BTC,binance,1.78e-05,1.786e-05,1.78e-05,5.999999999999943e-08,6843590.0
ocean-usd,ocean,usd,binance,0.4162,0.4168,0.4161,0.0006999999999999784,14065042.74
nmr-BTC,nmr,BTC,binance,0.001195,0.001195,0.001188,7.000000000000062e-06,29883.246
nmr-usd,nmr,usd,binance,27.824,27.939,27.813,0.12600000000000122,81353.036
dot-BTC,dot,BTC,binance,0.00022718,0.00022735,0.00022716,1.9000000000001004e-07,1329930.0
dot-usd,dot,usd,binance,5.3106,5.3095,5.3087,0.0007999999999999119,5725113.97
luna-BTC,luna,BTC,binance,2.28e-05,2.281e-05,2.276e-05,5.0000000000001215e-08,1740642.0
luna-usd,luna,usd,binance,0.5322,0.5324,0.5319,0.0004999999999999449,2921680.8
idex-BTC,idex,BTC,binance,1.51e-06,1.51e-06,1.5e-06,9.999999999999904e-09,9120883.0
rsr-BTC,rsr,BTC,binance,9.2e-07,9.2e-07,9.1e-07,1.000000000000001e-08,82245725.0
rsr-usd,rsr,usd,binance,0.02142,0.02143,0.0214,3.0000000000002247e-05,234405286.2
paxg-BTC,paxg,BTC,binance,0.08091,0.08102,0.08095,7.000000000000062e-05,129.0418
paxg-usd,paxg,usd,binance,1890.54,1892.13,1890.59,1.540000000000191,274.820752
wnxm-BTC,wnxm,BTC,binance,0.000765,0.000768,0.000765,3.000000000000073e-06,20435.961
wnxm-usd,wnxm,usd,binance,17.897,17.909,17.897,0.012000000000000455,57452.222
trb-BTC,trb,BTC,binance,0.001043,0.001048,0.001045,3.0000000000001813e-06,20325.59
trb-usd,trb,usd,binance,24.435,24.457,24.414,0.04299999999999926,92185.967
bzrx-BTC,bzrx,BTC,binance,9.7e-06,9.74e-06,9.7e-06,3.999999999999962e-08,2044358.0
bzrx-usd,bzrx,usd,binance,0.2272,0.2271,0.2267,0.0003999999999999837,9934582.81
w-BTC,w,BTC,binance,1.00033,1.00028,0.99984,0.00044000000000010697,247.1392
wbtc-eth,wbtc,eth,binance,36.2367,36.2367,36.1112,0.1255000000000024,14.0935
sushi-BTC,sushi,BTC,binance,0.0001216,0.0001217,0.0001216,1.0000000000000243e-07,4912006.82
sushi-usd,sushi,usd,binance,2.841,2.842,2.841,0.0009999999999998899,13482382.869
yfii-BTC,yfii,BTC,binance,0.07585,0.07594,0.07587,6.999999999998674e-05,571.9128
yfii-usd,yfii,usd,binance,1776.77,1775.38,1773.03,2.3500000000001364,5154.831492
ksm-BTC,ksm,BTC,binance,0.002368,0.002368,0.002365,2.9999999999999645e-06,13775.964
ksm-usd,ksm,usd,binance,55.381,55.376,55.285,0.09100000000000108,72998.698
egld-BTC,egld,BTC,binance,0.001119,0.00112,0.001118,1.9999999999998318e-06,368730.237
egld-usd,egld,usd,binance,26.123,26.126,26.107,0.019000000000001904,877598.317
dia-BTC,dia,BTC,binance,6.26e-05,6.28e-05,6.26e-05,1.999999999999913e-07,945879.71
dia-usd,dia,usd,binance,1.464,1.464,1.461,0.0029999999999998916,1581555.707
rune-usd,rune,usd,binance,1.0344,1.0357,1.0343,0.0014000000000000679,4163553.27
fio-usd,fio,usd,binance,0.0838,0.0838,0.0837,0.00010000000000000286,4540452.08
uma-BTC,uma,BTC,binance,0.000343,0.000343,0.000341,1.9999999999999944e-06,56108.255
uma-usd,uma,usd,binance,7.991,7.999,7.974,0.024999999999999467,112401.244
eosup-usd,eosup,usd,binance,6.526,6.559,6.525,0.03399999999999981,131984.42
eosdown-usd,eosdown,usd,binance,4.532,4.545,4.525,0.019999999999999574,13075.03
trxup-usd,trxup,usd,binance,4.087,4.082,4.06,0.02200000000000024,69597.04
trxdown-usd,trxdown,usd,binance,4.658,4.678,4.662,0.016000000000000014,17809.18
xrpup-usd,xrpup,usd,binance,21.776,21.832,21.692,0.14000000000000057,748020.97
xrpdown-usd,xrpdown,usd,binance,0.209,0.209,0.208,0.0010000000000000009,57977138.07
dotup-usd,dotup,usd,binance,8.412,8.477,8.433,0.04400000000000048,277452.63
dotdown-usd,dotdown,usd,binance,1.976,1.993,1.985,0.008000000000000007,98283.71
bel-BTC,bel,BTC,binance,4.95e-05,4.95e-05,4.935e-05,1.4999999999999687e-07,519741.0
bel-usd,bel,usd,binance,1.1565,1.159,1.1565,0.0024999999999999467,2260158.87
wing-BTC,wing,BTC,binance,0.000825,0.000825,0.000822,2.9999999999999645e-06,77950.208
wing-usd,wing,usd,binance,19.257,19.266,19.19,0.07599999999999696,290577.427
ltcup-usd,ltcup,usd,binance,39.383,39.67,39.443,0.22700000000000387,205215.87
ltcdown-usd,ltcdown,usd,binance,0.321,0.322,0.321,0.0010000000000000009,28609022.08
uni-BTC,uni,BTC,binance,0.00016673,0.00016677,0.00016659,1.8000000000001522e-07,2866580.0
uni-usd,uni,usd,binance,3.8967,3.895,3.8934,0.0015999999999998238,16701930.89
nbs-BTC,nbs,BTC,binance,3.6e-07,3.6e-07,3.5e-07,1.000000000000001e-08,79653636.0
nbs-usd,nbs,usd,binance,0.00819,0.00823,0.00818,4.99999999999997e-05,190010320.7
oxt-BTC,oxt,BTC,binance,1.061e-05,1.065e-05,1.061e-05,3.999999999999962e-08,1465628.0
oxt-usd,oxt,usd,binance,0.2484,0.2486,0.2474,0.0011999999999999789,5124609.77
